Номер;Работы;Цена
1;Установка операционной системы ;1000
2;Переустановка ОС с сохранением информации;1500
3;Лечение от вирусов (от 20 до 320 ГБ информации);1000
4; Лечение от вирусов (от 320 до 2000 ГБ информации);1500
5; Восстановление ОС (при фактической возможности);800
6; Заправка картриджа Струйный;250
7; Заправка картриджа Лазерный;400
8;Сборка системного блока;500
9;Замена комплектующих системного блока (СБ);300
10;Замена комплектующих СБ (с установкой драйверов);300
11; Восстановление информации с носителей;1000
12; Чистка СБ от пыли;500
13; Чистка ноутбуков от пыли;500
14; Диагностика неисправностей  СБ;500
15;Диагностика неисправностей  ноутбуков;500
16; Установка прикладных программ;300
17; Установка специализированных программ;500
18;Ремонт ноутбуков, СБ,  мониторов, оргтехники;500
19;Час работы специалиста на рабочем месте заказчика;1500
