Номер;Отдел;Объект;Дата;Категория;МОЛ
000001111;1;Компьютер;12.02.2006;1;1
000001112;1;Компьютер;12.02.2006;1;1
000001113;1;Принтер;01.04.2010;3;1
000001114;1;Сканер;01.04.2010;3;1
000001115;2;Компьютер;12.02.2006;1;2
000001116;2;Компьютер;12.02.2006;1;2
000001117;2;Принтер;01.04.2010;3;2
000001118;2;Сканер;01.04.2010;3;2
000001119;3;Компьютер;12.02.2006;1;4
000001120;3;Компьютер;12.02.2006;1;4
000001121;3;Принтер;12.02.2006;3;4
000001122;3;Сканер;12.02.2006;3;4
000001123;4;Компьютер;12.02.2006;1;7
000001124;4;Компьютер;12.02.2006;1;7
000001125;4;Принтер;12.02.2006;3;7
000001126;4;Сканер;01.04.2010;3;7
000001127;5;Компьютер;01.04.2010;1;6
000001128;5;Компьютер;01.04.2010;1;6
000001129;6;Компьютер;01.04.2010;1;8
000001130;6;Принтер;01.04.2010;3;8
000001131;7;Компьютер;01.04.2010;1;3
000001132;7;Принтер;01.04.2010;3;3
000001133;8;Компьютер;01.04.2010;1;5
